   Z2  A2f    Ex    nmult gmult  
   53  138     9.364    1    2
   58  151    12.098    1    4
   55  141    10.366    1    4
   57  147     5.237    0    4
   54  139    15.023    2    3
   54  139     9.383    1    4
   51  132    12.939    1    4
   56  144     9.924    1    3
   55  142    10.565    1    3
   53  138     3.133    0    4
   51  132     7.496    1    1
   50  128     7.196    0    2
   55  142     6.621    1    2
   57  147     9.221    1    2
   51  135     8.893    2    1
   53  140     3.572    0    3
   56  146     4.468    0    4
   55  144    11.903    1    2
   55  143    11.705    1    7
   51  134    11.823    1    2
   56  145     9.008    1    6
   51  132     8.501    1    1
   56  147     9.375    1    4
   53  139     7.320    1    3
   56  143     7.050    1    2
   53  137     4.358    0    7
   54  140     6.417    1    1
   55  142     4.686    1    1
   52  135     3.461    1    0
   53  138     6.979    1    7
   54  142    15.245    2    4
   55  144     8.526    1    4
   52  134     4.869    0    2
   51  130    12.354    1    6
   58  149     9.838    1    7
   52  137     2.655    0    3
   50  134     7.180    1    3
   53  139     3.598    0    6
   54  143     8.430    1    5
   54  142    13.502    2    3
   52  135    11.855    1    2
   51  131    11.040    1    3
   50  129    15.979    1    3
   51  132    10.048    1    1
   56  148    19.608    3    0
   55  142    12.498    1    2
   50  131    13.950    1    2
   52  136    13.891    2    1
   57  148    10.748    1    3
   51  131    13.637    1    4
   55  143    13.859    2    1
   55  144     8.369    1    3
   51  131     5.029    0    1
   53  138    12.345    2    4
   54  142     8.941    1    4
   48  126     6.508    0    9
   57  146     8.890    1    4
   55  141     0.746    0    1
   53  140    13.006    2    3
   51  134    13.021    2    2
   51  133    14.645    1    6
   53  138     4.879    1    3
   53  136    13.668    1    2
   52  134     5.969    0    2
   57  144     8.818    1    2
   57  149    12.865    2    3
   51  132     2.923    0    2
   55  143     9.111    1    2
   54  141    14.001    2    1
   57  146     0.937    0    3
   54  141     9.793    1    5
   55  143    14.706    2    5
   53  139     8.138    1    2
   55  145    11.611    2    3
   53  137    15.678    2    3
   57  148     9.904    1    2
   52  135     8.442    1    2
   55  145    11.999    2    1
   49  129     6.041    0    3
   58  150    10.326    1    7
   55  144    15.249    2    3
   50  130     6.580    0    4
   56  145    15.873    2    6
   53  138    12.697    2    4
   55  142     5.574    1    2
   53  139     1.762    0    1
   53  140    17.910    3    4
   52  135     5.243    1    1
   58  152    17.948    2    4
   52  136     5.247    0    3
   50  132     7.986    0    1
   53  137     8.075    1    2
   56  146     6.951    1    2
   51  135     4.674    1    2
   52  137     7.247    1    3
   55  141    12.275    2    3
   50  133     9.177    1    1
   50  129    10.684    1    2
   55  141     7.844    1    3
   55  143     9.956    1    3
   54  142    13.407    2    6
   51  134     9.435    1    2
   55  144     0.540    0    1
   53  142     4.657    1    2
   54  138    15.009    2    1
   55  142     4.095    0    4
   50  130     8.841    1    2
   54  139     9.047    1    4
   55  142    14.182    2    3
   49  128     3.584    0    2
   53  138    11.884    2    1
   54  141    16.893    2    4
   56  144    11.127    1    2
   53  139    14.018    2    6
   53  138     4.280    1    1
   55  141     3.098    0    3
   52  136    10.405    1    2
   49  131     3.645    0    2
   54  139    15.087    2    3
   61  156    12.246    1    3
   55  145     9.395    1    7
   58  147     5.690    1    2
   50  132     7.407    0    2
   51  133     3.932    0    2
   51  132     3.250    0    3
   51  131     8.770    0    2
   55  141     9.528    1    6
   51  133    12.932    1    2
   53  143     9.585    2    2
   58  152    13.786    2    3
   52  138     7.067    1    2
   52  135    13.052    1    1
   57  145     7.268    1    3
   53  139    16.506    2    5
   53  136     2.210    0    2
   53  139     7.601    1    2
   55  141     5.568    0    4
   55  141     1.342    0    2
   55  145    10.770    2    3
   53  139     8.361    1    3
   53  137     3.565    0    2
   53  140     3.510    0    3
   51  132     7.876    1    1
   55  142    13.165    2    3
   50  132     9.468    1    2
   50  131    16.991    2    5
   55  139     7.827    1    5
   53  138     4.195    0    3
   59  151    16.644    2    6
   55  143     5.667    0    5
   52  135     8.366    1    5
   54  140    11.423    1    4
   56  143    11.514    1    4
   58  151    11.380    1    7
   52  136     5.380    1    1
   54  140    13.185    2    2
   53  136    14.986    1    3
   52  135     7.626    1    1
   52  134    10.877    1    1
   52  134     3.066    0    3
   54  140    12.271    2    3
   51  132     8.510    1    1
   55  143     2.246    0    2
   56  146     5.261    0    6
   54  142     4.434    0    3
   55  145     8.881    1    3
   57  151    16.675    2    5
   54  141     4.973    0    5
   54  142    17.019    2    4
   49  129    10.152    1    5
   55  141     4.457    0    2
   58  151     9.976    1    3
   53  140     2.232    0    5
   55  141    13.932    2    3
   55  142    11.283    1    3
   51  133     4.571    0    2
   55  147    10.858    2    4
   51  134     6.086    1    2
   53  138    10.987    2    4
   53  140    12.567    2    4
   57  150     9.958    1    4
   51  133     7.303    0    2
   52  132     4.168    0    1
   53  138     7.667    1    4
   52  136     6.966    1    2
   51  133     1.671    0    1
   56  147     9.731    1    4
   56  149    22.737    3    4
   52  136     7.255    1    2
   55  143     9.187    1    2
   51  135     7.626    1    5
   55  142     9.859    1    3
   56  148    16.162    2    9
   54  139     4.351    1    1
   51  135     9.562    2    1
   58  150     8.153    1    2
   51  132     5.510    0    5
   50  134    10.262    2    1
   52  135     4.278    1    1
   51  134     7.477    1    1
   50  130    11.685    1    5
   54  138    11.735    2    1
   58  150     7.935    1    3
   50  130    13.933    1    3
   49  128     8.969    1    1
   52  135    13.290    1    2
   54  137     6.715    1    2
   57  147    16.976    2    5
   54  139    10.472    1    4
   56  147    13.009    2    3
   57  146    11.431    1    4
   56  146    13.495    2    5
   53  140    10.894    2    5
   53  139    14.861    2    2
   58  148    15.190    2    2
   57  144     5.709    1    2
   54  142    15.954    2    5
   56  146    16.936    2    4
   59  151     6.036    0    6
   55  144    10.276    2    1
   58  152    18.425    2    5
   53  139    13.003    2    4
   52  136    14.498    2    2
   53  140    11.050    2    3
   56  144    10.285    1    4
   50  132     9.351    1    2
   51  132     8.230    1    2
   57  148    13.190    2    4
   54  139    14.643    2    2
   52  136     4.069    0    2
   53  139     7.162    1    1
   50  131     4.509    0    2
   58  149    10.753    1    6
   50  130     7.429    0    3
   52  136    17.143    2    2
   54  138     1.182    0    2
   53  138     8.031    1    4
   56  146     5.857    0    5
   50  131    10.014    1    2
   52  137     7.555    1    5
   51  135     4.523    1    1
   51  133     5.471    0    2
   51  136     3.720    0    4
   54  141     9.151    1    4
   55  140    12.298    1    2
   56  140     8.897    1    2
   52  135     7.946    1    2
   58  153    10.915    1    6
   52  133     9.942    1    3
   52  137    10.469    2    2
   54  142     1.571    0    4
   55  143     8.319    1    4
   58  149    13.491    2    4
   54  140    10.144    2    0
   54  142     4.765    0    5
   53  139     6.665    1    1
   55  143    14.060    2    4
   51  136     4.545    1    1
   53  138     5.186    1    3
   52  136     8.151    1    1
   52  134     6.304    0    1
   52  135    13.066    2    1
   56  145    12.160    1    8
   59  152    11.033    1    4
   57  147    10.233    1    4
   53  137    11.281    2    1
   55  144     6.842    1    4
   52  135     2.534    0    2
   49  129     5.910    0    6
   52  136     7.318    1    1
   52  137     1.685    0    4
   51  134    13.177    2    1
   53  137     6.823    1    4
   57  146    10.828    1    6
   53  139     2.318    0    4
   53  137    10.432    2    1
   53  136    10.145    1    3
   50  133     7.022    1    1
   54  139    10.243    1    4
   56  145     9.349    1    5
   57  146     9.779    1   10
   54  140     4.453    0    6
   51  132    14.015    1    4
   52  137    13.010    2    3
   55  145     7.608    1    1
   51  134     9.949    1    2
   51  135     7.061    1    2
   56  143     9.490    1    5
   55  143     8.478    1    3
   52  135    10.261    1    2
   53  138     5.725    1    1
   57  148     5.640    1    2
   60  154     1.417    0    4
   54  142    10.966    1    4
   58  151    13.639    2    2
   56  146    12.581    2    6
   59  151    14.396    1    5
   60  155     9.090    1    7
   57  146    11.926    2    1
   53  138     4.031    0    3
   50  129    13.221    1    2
   51  132    11.656    1    2
   56  146     6.922    1    4
   53  137     8.471    1    1
   53  137    13.150    2    2
   53  142     9.027    1    5
   52  138    10.380    2    4
   55  143    13.911    2    3
   53  137    13.232    2    2
   55  141     9.982    1    2
   55  146    11.490    1    5
   57  146     9.360    1    7
   55  145    14.056    2    7
   52  137     9.072    1    4
   51  133     4.712    0    2
   53  138    10.522    1    6
   54  141    15.044    3    1
   50  129    11.387    1    3
   51  134    12.954    2    1
   51  133     7.832    0    3
   53  137    15.015    2    3
   58  147     5.320    1    2
   52  135     4.770    0    4
   51  134     5.052    1    1
   53  138     9.436    1    6
   52  137    10.774    2    2
   51  135     4.501    1    1
   53  137     4.858    0    3
   53  140    12.208    2    6
   55  145    12.862    2    1
   55  142     2.284    0    3
   53  136    12.099    1    3
   50  132     5.272    0    1
   53  139    13.297    2    2
   59  150    10.405    1    5
   58  148     6.818    0    5
   51  129     4.373    0    3
   53  137     8.322    1    3
   52  135     9.378    1    2
   49  128    16.156    1    6
   55  143     8.243    1    4
   50  134    12.354    2    1
   53  138     7.728    1    4
   50  130     9.526    0    5
   59  155    12.872    2    5
   52  135     5.516    1    1
   51  133     8.766    1    1
   58  151    10.692    1    6
   53  139    12.609    2    3
   52  136    10.826    2    1
   55  142     8.527    1    3
   53  135    12.095    1    4
   50  132     8.900    1    2
   57  147    17.870    2    4
   53  138    12.952    2    3
   51  136     7.003    1    3
   55  141    12.402    1    5
   51  131     3.837    0    2
   50  128     3.909    0    2
   52  135    10.271    1    2
   51  132    11.824    1    2
   55  144    10.664    1    4
   52  138     8.688    1    4
   52  135    12.243    1    4
   52  136     9.822    1    3
   50  132     1.961    0    1
   53  138    16.231    2    9
   55  143     4.981    0    5
   51  134    15.308    2    3
   52  134    10.346    1    1
   54  139    14.566    2    4
   52  137    11.561    2    2
   52  133     6.860    1    1
   50  129    12.108    1    1
   54  141    15.299    2    5
   57  148    10.772    1    4
   52  135     4.558    1    1
   52  136     7.322    1    1
   53  136    13.233    1    5
   56  147    16.262    2    8
   53  137     5.492    1    0
   56  147     9.962    1    4
   54  138     6.736    1    1
   54  141     4.994    1    2
   57  149     9.433    1    3
   54  137    10.229    1    2
   57  147    11.640    1    3
   53  139     6.886    1    5
   54  141     9.178    1    5
   55  142     9.950    1    5
   55  140     8.539    1    3
   52  139     3.314    0    3
   56  144     4.610    0    4
   56  144     5.212    0    6
   57  149     9.206    1    3
   53  138     9.044    1    5
   50  127     7.384    1    1
   54  142     8.597    1    6
   56  147    15.266    2    4
   52  133     4.788    0    2
   52  134    14.056    2    1
   52  136    11.289    2    1
   56  147     7.864    1    1
   56  143     5.124    1    2
   56  142     3.886    0    4
   57  150     6.199    1    2
   50  133    10.066    1    1
   58  150     7.468    0    7
   55  144    12.712    2    1
   50  132    12.115    1    2
   50  133    11.478    1    1
   54  142    11.351    2    2
   61  157    11.522    1    4
   58  152     6.111    0    5
   57  148     2.677    0    3
   56  145     7.970    1    4
   50  128     8.220    0    2
   51  130     6.362    1    1
   56  146     9.037    1    5
   53  136     9.895    1    2
   55  143     3.937    0    4
   57  149    13.535    1    6
   52  135    11.419    1    2
   49  127     4.712    0    3
   51  133     6.424    0    2
   52  133     1.304    0    1
   52  133     5.806    0    3
   51  136     9.503    1    4
   50  130     6.538    0    1
   54  138    13.051    1    4
   54  143     7.682    1    5
   56  147     9.021    1    5
   53  140     8.544    1    3
   54  144    12.838    2    7
   53  138     7.455    1    4
   57  150    10.138    1    4
   55  143     5.720    0    4
   53  134     9.482    1    2
   53  142    14.320    2    9
   53  138     2.209    0    5
   55  145     8.972    1    4
   54  139    10.686    1    2
   51  133    13.661    1    3
   57  148    16.562    2    3
   51  133     4.457    0    2
   55  142     0.258    0    1
   53  138     9.328    1    7
   51  133     8.240    1    2
   53  137     8.747    1    4
   55  138     7.962    1    2
   56  148     6.684    1    2
   50  131     8.058    1    1
   56  144     7.734    1    5
   53  139     7.515    1    2
   53  138     4.025    0    3
   52  132     5.975    0    4
   53  136     7.991    1    4
   52  137     9.696    2    1
   50  130     7.810    1    1
   52  137     6.018    1    3
   59  150     2.351    0    4
   55  142    10.671    1    3
   52  130     1.864    0    4
   54  141     7.925    1    4
   52  135     8.379    1    4
   52  138    11.790    2    3
   54  143    11.342    1    3
   55  143     4.970    0    5
   52  136     8.940    1    4
   51  136     6.265    1    2
   51  135     6.911    1    2
   54  137     6.637    1    2
   56  146    10.957    2    3
   57  147     3.816    0    5
   55  141     6.271    1    2
   54  141     6.216    1    4
   58  148    12.705    1    5
   52  134     9.678    1    1
   54  142     5.729    1    0
   54  140     5.475    1    0
   54  138    11.076    1    2
   54  141     2.487    0    5
   54  140     3.054    0    4
   52  138     6.048    1    4
